Stock name,Max train val,Min train val,Train vals range,Train RMSE,Train NRMSE,Max test val,Min test val,Test vals range,TestRMSE,TestNRMSE
43_DB_INSURANCE_005830,74575.0,57025.0,17550.0,78.86978753453842,0.004494004987722987,74600.0,66525.0,8075.0,78.2136157795242,0.00968589669096275,result-data-12.24-adam/
44_E_MART_139480,279125.0,187625.0,91500.0,593.2575360372757,0.006483688918440172,212750.00000000003,181125.0,31625.00000000003,273.41554573244815,0.008645550853199934,result-data-12.24-adam/
45_HANKOOK_TIRE_161390,50575.0,39675.0,10900.0,47.508715197587264,0.00435859772454929,44237.5,38700.0,5537.5,56.93725782248265,0.010282123308800479,result-data-12.24-adagrad/
46_HAN_ME_128940,528250.0,368875.0,159375.0,494.15154577594853,0.003100558718594187,495375.0,378375.0,117000.0,605.2245902582337,0.005172859745796869,result-data-12.24-adagrad/
47_CJ_JAIL_097950,382750.0,308750.0,74000.0,300.4548454023946,0.004060200613545873,364000.00000000006,318000.0,46000.00000000006,303.57948819798935,0.00659955409126063,result-data-12.24-adagrad/
48_HAN_ME_SC_008930,92600.0,61700.0,30900.0,95.66503653766574,0.003095955875005364,80300.0,64600.0,15700.0,96.50242485814353,0.006146651264849906,result-data-12.24-adagrad/
49_GS_078930,63125.0,47212.5,15912.5,48.79422342239175,0.0030664083847536058,53700.0,46712.5,6987.5,50.78952022078009,0.007268625434100907,result-data-12.24-adam/
4_Hyandaimtr_005380,160375.0,103625.0,56750.0,262.7333838071852,0.004629663150787404,124375.0,92525.0,31850.0,236.92369899851838,0.0074387346624338576,result-data-12.24-adam/
50_HYUNDAI_GLOVIS_086280,168750.0,103000.0,65750.0,209.75057547861005,0.003190122820967453,134500.0,105125.0,29375.0,209.15084507168817,0.007120028768397895,result-data-12.24-adagrad/
5_LGChemical_051910,392250.0,302375.0,89875.0,355.94009078913757,0.003960390439934771,365875.0,321750.0,44125.0,335.47203120412837,0.007602765579696961,result-data-12.24-adagrad/
6_SamSungBio_207940,553250.0,350500.0,202750.0,875.4131308171607,0.004317697315990928,478000.0,282375.0,195625.0,1224.9797802998414,0.006261877471181298,result-data-12.24-sgd/
7_HanKuKElec_015760,37675.0,23850.0,13825.0,44.385796847400655,0.0032105458840796133,34462.5,26150.0,8312.5,43.65192273317312,0.005251359125795263,result-data-12.24-adagrad/
8_POSCO_005490,375875.0,246374.99999999997,129500.00000000003,411.9409556549089,0.0031810112405784466,276000.0,236250.0,39750.0,369.29057826345866,0.009290329012917199,result-data-12.24-adam/
9_KBFinace_105560,59650.0,48787.5,10862.5,59.210988114235334,0.0054509540266269585,49537.5,44287.5,5250.0,75.14040579790465,0.014312458247219934,result-data-12.24-sgd/
AVERAGE,,,,,0.004600705796599526,,,,,0.008181925087963731
